Age,Attrition,BusinessTravel,DistanceFromHome,Education,Gender,JobLevel,JobRole,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,MonthlyHours,TaxRate,OverallSatisfaction
51.0,No,Travel_Rarely,2,2,Male,1,Sales Representative,6393.0,0,No,19,1,4.0,4.0,2,118.38888888888887,0.0,2.6
40.0,No,Travel_Rarely,3,3,Male,3,Sales Executive,5003.0,0,No,12,2,6.0,10.0,10,126.93421052631581,0.4813931792267026,2.4
36.0,No,Non-Travel,10,1,Male,1,Sales Representative,9980.0,1,No,22,0,3.0,10.0,0,316.0,0.5732124529592884,2.8
38.0,No,Travel_Frequently,29,3,Female,2,Laboratory Technician,17491.0,4,No,13,2,4.0,6.0,7,203.38372093023256,0.0,2.4
34.0,No,Travel_Rarely,10,2,Female,1,Research Scientist,3038.0,3,No,21,2,3.0,1.0,2,139.92753623188406,0.6853443811496633,2.8
40.0,No,Travel_Rarely,1,3,Male,5,Manager,10475.0,0,Yes,14,0,2.0,18.0,10,233.80246913580245,0.4468792903157672,2.8
33.0,No,Travel_Rarely,18,3,Male,2,Sales Executive,6179.0,1,No,16,0,2.0,5.0,2,82.6046511627907,0.13020833333333334,2.8
52.0,No,Travel_Rarely,5,3,Male,3,Healthcare Representative,9255.0,2,Yes,13,1,2.0,4.0,0,259.72972972972974,0.03694068678459938,2.8
36.0,Yes,Travel_Rarely,11,2,Male,2,Healthcare Representative,4678.0,5,No,15,0,2.0,6.0,0,235.7704918032787,0.6747323042692254,1.2
35.0,No,Travel_Rarely,1,4,Female,1,Research Scientist,8952.0,1,No,12,1,2.0,17.0,3,144.38709677419354,0.0,3.0
33.0,No,Travel_Frequently,2,1,Female,2,Human Resources,4223.0,1,No,21,0,2.0,15.0,1,80.05319148936171,0.4388039867109633,2.8
48.0,No,Travel_Rarely,22,2,Female,2,Sales Executive,6439.0,0,No,13,1,2.0,8.0,7,162.94736842105263,0.5840439276485788,2.6
34.0,No,Travel_Frequently,2,1,Male,4,Manager,9547.0,7,No,15,0,2.0,10.0,7,433.075,0.4488829879351152,2.4
50.0,No,Travel_Rarely,29,2,Male,2,Research Scientist,12932.0,2,No,11,1,3.0,2.0,4,140.56521739130434,0.0,2.4
55.0,No,Non-Travel,2,4,Male,1,Sales Representative,17001.0,3,Yes,21,0,3.0,9.0,2,242.87142857142857,0.0,3.2
35.0,No,Travel_Rarely,7,2,Male,2,Manufacturing Director,1951.0,1,No,12,1,3.0,1.0,10,134.06451612903226,0.53055822906641,1.8
40.0,No,Travel_Rarely,17,2,Male,2,Sales Executive,2018.0,2,No,16,2,3.0,5.0,2,509.75757575757575,0.8800380454167162,2.2
47.0,No,Travel_Frequently,3,2,Male,3,Research Director,12936.0,3,No,15,0,3.0,8.0,7,496.7435897435897,0.33226655654777265,3.4
36.0,No,Travel_Rarely,6,3,Female,2,Research Scientist,7094.0,4,Yes,13,2,0.0,7.0,7,333.35294117647067,0.5827304276219046,2.4
29.0,No,Travel_Rarely,10,1,Male,1,Research Scientist,2804.0,0,No,17,1,3.0,1.0,1,183.74242424242425,0.7687804073554878,2.6
47.0,No,Travel_Rarely,1,3,Male,1,Research Scientist,5868.0,4,No,13,1,3.0,13.0,2,74.86075949367087,0.007778153533987148,2.4
39.0,No,Non-Travel,4,3,Male,2,Human Resources,6472.0,6,No,19,1,2.0,9.0,2,346.56666666666666,0.6887563720303934,2.2
24.0,No,Travel_Rarely,11,2,Male,2,Healthcare Representative,2725.0,1,Yes,12,0,3.0,6.0,5,213.6125,0.840540698695067,2.6
43.0,No,Travel_Rarely,25,2,Male,3,Research Director,26707.0,3,No,17,1,2.0,10.0,8,329.71604938271605,0.0,2.2
34.0,No,Travel_Frequently,26,4,Female,2,Sales Executive,12069.0,0,No,18,0,3.0,2.0,2,120.69,0.0,2.8
37.0,No,Travel_Rarely,2,2,Male,1,Laboratory Technician,6502.0,4,No,14,1,2.0,5.0,1,212.84,0.592683079621625,2.2
24.0,No,Travel_Rarely,6,2,Male,2,Manufacturing Director,2819.0,6,No,20,2,2.0,6.0,2,54.964285714285715,0.3894303660385532,2.8
38.0,Yes,Travel_Frequently,26,4,Male,2,Sales Executive,22967.0,5,No,15,0,2.0,6.0,3,441.67307692307685,0.0,2.2
31.0,Yes,Non-Travel,3,3,Male,1,Laboratory Technician,9936.0,4,No,12,0,2.0,9.0,2,164.82022471910113,0.3226532142613675,2.4
44.0,No,Travel_Rarely,2,2,Male,2,Sales Executive,2559.0,7,No,12,2,0.0,8.0,4,490.2826086956522,0.8865339422693211,3.0
60.0,Yes,Travel_Rarely,2,2,Male,1,Laboratory Technician,2396.0,6,Yes,15,0,2.0,1.0,0,26.04347826086957,0.0,2.8
29.0,No,Travel_Rarely,2,1,Female,2,Manufacturing Director,4973.0,1,No,17,2,5.0,0.0,7,64.58441558441558,0.0,3.4
46.0,No,Travel_Rarely,23,4,Female,1,Laboratory Technician,5855.0,0,No,16,1,2.0,9.0,4,106.54945054945057,0.3961427392739274,2.4
37.0,No,Travel_Rarely,2,3,Male,2,Sales Executive,3564.0,1,Yes,11,0,3.0,8.0,4,70.83783783783784,0.3201068294544067,2.8
34.0,No,Travel_Rarely,6,3,Female,5,Manager,2742.0,7,No,13,0,2.0,2.0,12,278.25925925925924,0.8783442033808067,2.6
45.0,No,Non-Travel,9,4,Male,1,Research Scientist,7551.0,0,Yes,16,0,1.0,20.0,2,179.78571428571428,0.0,2.8
51.0,No,Travel_Rarely,9,3,Female,1,Laboratory Technician,4936.0,1,No,11,3,2.0,7.0,0,442.51666666666665,0.8140936311250047,2.6
45.0,Yes,Travel_Rarely,8,1,Female,1,Laboratory Technician,5006.0,1,Yes,11,0,3.0,5.0,4,221.35483870967738,0.7568250267171864,2.6
38.0,No,Travel_Rarely,28,3,Female,4,Research Director,6545.0,4,Yes,11,0,1.0,3.0,2,521.4418604651163,0.7080991882972081,2.6
28.0,No,Travel_Rarely,23,3,Male,1,Research Scientist,2713.0,1,No,25,3,2.0,5.0,7,232.39583333333331,0.8783953384132676,2.0
56.0,No,Travel_Rarely,28,3,Female,1,Research Scientist,16090.0,4,No,12,0,2.0,5.0,2,223.47222222222226,0.0,3.2
35.0,No,Travel_Rarely,7,4,Male,2,Research Scientist,5628.0,6,Yes,16,0,2.0,9.0,0,72.15384615384616,0.0,3.0
30.0,No,Travel_Rarely,9,3,Female,1,Research Scientist,2693.0,1,No,16,1,3.0,1.0,3,284.1290322580645,0.8471276112624887,3.4
49.0,Yes,Travel_Rarely,3,2,Male,1,Sales Representative,3810.0,1,Yes,14,0,2.0,6.0,2,44.30232558139535,0.0,2.4
29.0,No,Travel_Rarely,29,2,Male,2,Sales Executive,4267.0,5,No,12,2,2.0,0.0,0,147.64444444444445,0.3577664057796508,2.2
38.0,No,Travel_Rarely,10,4,Male,3,Sales Executive,2983.0,2,No,12,1,3.0,3.0,0,308.23880597014926,0.8555587836529149,1.8
34.0,Yes,Travel_Rarely,8,1,Male,1,Laboratory Technician,2768.0,1,Yes,17,0,3.0,7.0,0,202.51898734177212,0.8269891868241765,2.6
40.0,No,Travel_Rarely,11,4,Female,4,Manager,10435.0,3,No,20,1,2.0,18.0,9,281.1034482758621,0.5733153418384037,2.6
38.0,No,Travel_Frequently,8,1,Male,1,Laboratory Technician,4892.0,1,No,19,0,1.0,8.0,0,147.80555555555554,0.08062394286788198,3.8
22.0,No,Non-Travel,7,1,Female,1,Laboratory Technician,6054.0,6,No,14,3,6.0,1.0,3,97.64516129032258,0.0,2.6
60.0,No,Travel_Rarely,2,3,Male,1,Research Scientist,5405.0,1,No,14,0,1.0,2.0,2,144.71794871794873,0.5211729270021261,3.0
45.0,Yes,Travel_Rarely,20,2,Male,1,Human Resources,6889.0,0,Yes,11,0,2.0,7.0,1,157.2608695652174,0.36512763800571374,3.0
34.0,No,Travel_Rarely,2,1,Female,1,Laboratory Technician,6029.0,6,Yes,19,1,3.0,2.0,2,128.03508771929822,0.17388325568648946,3.0
28.0,No,Travel_Rarely,10,4,Male,2,Human Resources,4908.0,3,No,11,0,3.0,4.0,3,208.64788732394362,0.6686917780477927,3.0
34.0,No,Travel_Rarely,1,4,Male,2,Sales Executive,2691.0,0,No,11,1,4.0,10.0,1,163.70666666666668,0.780827496334908,3.2
41.0,No,Travel_Rarely,1,4,Male,2,Research Scientist,2289.0,9,No,17,1,2.0,5.0,2,289.06666666666666,0.8240313653136532,2.6
39.0,No,Travel_Frequently,1,4,Male,2,Healthcare Representative,12169.0,4,No,12,0,2.0,18.0,2,329.79545454545456,0.16139480394183722,2.8
38.0,No,Travel_Frequently,8,2,Male,1,Research Scientist,4488.0,1,No,21,0,2.0,13.0,3,71.74242424242425,0.05216473072861669,3.6
36.0,No,Travel_Rarely,18,1,Male,2,Sales Executive,2342.0,2,No,11,0,3.0,5.0,2,134.16129032258064,0.8122946221046726,2.4
30.0,No,Travel_Frequently,5,3,Female,1,Sales Representative,3909.0,1,No,11,1,2.0,9.0,2,59.14285714285714,0.21316425120772947,2.8
35.0,No,Travel_Rarely,2,3,Female,2,Sales Executive,4859.0,8,No,15,0,3.0,5.0,7,172.53225806451616,0.5457604935963354,3.0
47.0,Yes,Travel_Rarely,9,3,Male,1,Laboratory Technician,16998.0,2,Yes,11,0,3.0,17.0,0,190.98876404494385,0.0,2.2
32.0,No,Non-Travel,2,4,Male,1,Sales Representative,4087.0,1,Yes,18,0,3.0,6.0,2,202.1076923076923,0.6888939636142194,2.6
45.0,Yes,Travel_Rarely,9,4,Male,2,Sales Executive,18385.0,0,Yes,17,0,2.0,10.0,2,238.76623376623374,0.0,1.8
34.0,No,Travel_Frequently,8,3,Female,2,Sales Executive,2231.0,1,No,15,2,3.0,4.0,7,208.80357142857144,0.8092020867185495,3.6
32.0,No,Travel_Rarely,27,5,Female,2,Sales Executive,11159.0,7,No,23,1,6.0,7.0,7,255.3030303030303,0.5584965380811078,3.2
54.0,No,Travel_Rarely,9,3,Female,5,Research Director,3735.0,2,No,17,1,6.0,10.0,16,272.28125,0.7856650981292321,2.6
39.0,No,Non-Travel,8,5,Male,4,Research Director,8847.0,3,No,11,0,2.0,6.0,2,117.41935483870968,0.18983516483516485,2.6
30.0,Yes,Non-Travel,4,4,Male,2,Sales Executive,8450.0,1,Yes,12,0,2.0,11.0,7,176.54166666666663,0.002832192589096059,3.0
35.0,No,Travel_Rarely,7,4,Female,2,Sales Executive,12761.0,7,No,14,2,4.0,19.0,2,174.8082191780822,0.0,2.6
30.0,No,Travel_Frequently,8,2,Female,2,Manufacturing Director,4011.0,2,Yes,16,1,2.0,12.0,0,54.79347826086956,0.2043245387819877,2.2
53.0,No,Travel_Rarely,2,3,Male,1,Laboratory Technician,2450.0,7,No,15,0,4.0,2.0,2,37.078651685393254,0.2575757575757576,2.6
45.0,No,Travel_Rarely,6,2,Male,1,Laboratory Technician,2348.0,1,No,11,1,2.0,17.0,4,409.4,0.8566194430874451,2.8
31.0,Yes,Travel_Rarely,1,3,Male,1,Research Scientist,5582.0,0,No,14,0,2.0,9.0,2,232.43529411764703,0.7174672268056891,3.0
47.0,No,Non-Travel,1,2,Male,3,Research Director,5467.0,1,Yes,12,0,4.0,8.0,14,154.55102040816325,0.6390466129671201,2.8
26.0,No,Travel_Frequently,10,4,Female,3,Healthcare Representative,5747.0,3,No,12,0,3.0,2.0,7,91.22222222222223,0.0,2.8
33.0,Yes,Travel_Rarely,4,3,Male,2,Sales Executive,9558.0,1,No,18,0,2.0,10.0,7,170.67857142857142,0.0,2.4
49.0,No,Travel_Rarely,1,3,Female,4,Research Director,3423.0,3,No,14,2,2.0,7.0,7,160.50574712643675,0.7548696648524778,2.8
38.0,No,Travel_Frequently,2,3,Male,1,Laboratory Technician,2610.0,1,Yes,12,1,2.0,4.0,2,273.5,0.8164815075235551,3.0
28.0,No,Travel_Rarely,3,4,Male,4,Research Director,2028.0,3,Yes,16,3,2.0,4.0,3,467.02222222222224,0.9035020936429388,3.0
36.0,No,Travel_Rarely,7,1,Male,1,Research Scientist,3886.0,1,No,11,2,2.0,10.0,2,420.265625,0.8555229207718333,3.2
42.0,No,Non-Travel,3,3,Male,1,Research Scientist,9256.0,1,No,12,0,2.0,20.0,10,388.2826086956522,0.4817759363977381,2.6
32.0,No,Travel_Rarely,6,3,Male,2,Healthcare Representative,13119.0,2,No,13,0,2.0,1.0,2,135.24742268041237,0.0,2.6
59.0,No,Travel_Rarely,22,3,Male,3,Manager,11904.0,7,No,18,1,1.0,6.0,7,269.01408450704224,0.3767539267015707,2.4
45.0,Yes,Travel_Rarely,9,4,Male,1,Laboratory Technician,4805.0,3,No,14,0,3.0,8.0,4,253.84883720930236,0.7799001419999084,2.2
36.0,Yes,Travel_Rarely,11,3,Male,3,Sales Executive,5860.0,1,No,18,2,2.0,3.0,8,205.7441860465116,0.33762857465807616,3.0
42.0,No,Travel_Rarely,7,2,Female,3,Manufacturing Director,14034.0,1,No,24,1,5.0,5.0,9,292.375,0.0,2.4
28.0,No,Travel_Rarely,1,5,Male,2,Sales Executive,3485.0,5,Yes,21,1,2.0,0.0,3,53.45333333333333,0.13070591169867798,2.2
46.0,No,Travel_Rarely,2,4,Male,1,Research Scientist,6073.0,1,No,11,1,3.0,4.0,3,229.17073170731706,0.3536611323967645,2.4
29.0,No,Travel_Rarely,29,4,Female,1,Sales Representative,2974.0,2,No,15,2,2.0,5.0,8,494.7,0.8497068930665049,2.4
40.0,No,Travel_Rarely,1,2,Male,1,Laboratory Technician,9705.0,1,No,12,3,2.0,1.0,1,346.42372881355936,0.5251724644062821,2.4
40.0,No,Travel_Rarely,19,2,Male,2,Research Scientist,3875.0,2,No,16,2,2.0,2.0,0,552.1388888888888,0.8050510640438698,2.0
28.0,No,Travel_Rarely,2,1,Female,1,Research Scientist,8268.0,7,No,13,0,2.0,7.0,3,332.8,0.6177884615384616,2.2
47.0,Yes,Non-Travel,25,4,Male,3,Sales Executive,11849.0,2,Yes,12,0,2.0,10.0,4,302.3684210526316,0.31250362634174644,2.8
41.0,No,Non-Travel,25,4,Male,3,Healthcare Representative,6230.0,1,Yes,11,1,3.0,14.0,10,122.36842105263158,0.10681003584229393,2.8
46.0,Yes,Travel_Rarely,13,5,Female,2,Sales Executive,8658.0,5,Yes,13,3,2.0,8.0,2,197.36458333333331,0.5430411146883412,2.0
19.0,No,Travel_Rarely,9,3,Female,1,Research Scientist,1483.0,6,No,18,2,2.0,1.0,0,245.8901098901099,0.9337236324633535,2.6
34.0,No,Travel_Rarely,8,5,Male,1,Laboratory Technician,5869.0,1,No,19,3,2.0,15.0,2,111.7816091954023,0.3965038560411311,2.4
30.0,No,Travel_Frequently,6,2,Female,1,Human Resources,25657.0,8,No,17,0,2.0,4.0,2,493.4038461538461,0.0,2.8
35.0,Yes,Travel_Frequently,2,3,Male,2,Manufacturing Director,7653.0,4,No,11,2,3.0,10.0,2,108.50617283950619,0.12925247468426446,2.4
45.0,No,Travel_Rarely,7,3,Male,2,Healthcare Representative,9724.0,8,No,19,0,2.0,1.0,6,425.4181818181818,0.5844089238396444,1.8
34.0,No,Travel_Rarely,21,4,Male,2,Sales Executive,19921.0,1,No,12,0,3.0,2.0,7,269.20270270270265,0.0,3.8
37.0,Yes,Travel_Rarely,9,2,Male,3,Sales Executive,2501.0,1,No,16,0,4.0,5.0,8,212.4375,0.8160488378934981,3.2
31.0,No,Travel_Rarely,11,3,Female,1,Laboratory Technician,19106.0,4,No,18,0,2.0,11.0,2,203.25531914893617,0.0,2.2
46.0,No,Travel_Rarely,1,2,Female,2,Sales Executive,2823.0,1,Yes,14,1,2.0,7.0,14,61.125,0.17528483786152502,3.0
27.0,No,Travel_Frequently,4,4,Female,2,Sales Executive,2379.0,4,No,14,1,3.0,5.0,11,310.4255319148936,0.8369431117203564,3.2
39.0,No,Travel_Rarely,20,3,Male,3,Healthcare Representative,3230.0,2,Yes,18,1,4.0,5.0,7,209.08421052631581,0.8373860947490308,1.8
27.0,No,Travel_Rarely,3,2,Female,1,Laboratory Technician,2561.0,5,No,22,1,2.0,2.0,0,65.66666666666667,0.0,2.4
35.0,No,Non-Travel,1,1,Male,3,Sales Executive,6599.0,1,No,14,1,3.0,1.0,10,157.11904761904762,0.0,3.2
33.0,No,Travel_Rarely,28,2,Male,2,Sales Executive,2277.0,1,No,20,2,4.0,4.0,3,112.54545454545456,0.6934571890145396,2.8
31.0,No,Travel_Rarely,26,3,Male,2,Sales Executive,5915.0,1,No,11,1,2.0,7.0,3,504.83333333333326,0.7559012875536479,2.4
30.0,No,Travel_Rarely,8,1,Male,1,Laboratory Technician,3491.0,1,No,11,1,2.0,10.0,3,372.33333333333326,0.8046665174574754,2.6
33.0,No,Travel_Rarely,1,3,Male,2,Sales Executive,13610.0,9,No,11,0,2.0,7.0,9,219.51764705882354,0.2705932793826036,2.8
28.0,No,Travel_Rarely,19,4,Female,2,Manufacturing Director,22670.0,9,Yes,11,2,5.0,5.0,3,238.63157894736838,0.0,2.6
40.0,No,Non-Travel,22,4,Male,2,Research Scientist,10932.0,1,Yes,15,0,2.0,1.0,10,308.09302325581393,0.5874094202898551,2.8
33.0,No,Travel_Rarely,16,4,Male,2,Sales Executive,3143.0,4,No,19,2,1.0,10.0,0,372.09090909090907,0.8720172652496132,3.2
33.0,No,Travel_Frequently,4,3,Male,2,Manufacturing Director,4373.0,1,No,12,1,2.0,4.0,13,195.14285714285717,0.7713344488600711,2.8
34.0,No,Travel_Rarely,7,2,Male,3,Sales Executive,2932.0,7,Yes,18,1,2.0,5.0,2,265.5769230769231,0.8584600531016172,2.8
40.0,No,Travel_Rarely,1,5,Male,2,Human Resources,10503.0,4,Yes,11,0,3.0,6.0,7,454.6756756756757,0.3756761576413244,2.8
45.0,Yes,Travel_Frequently,13,4,Male,4,Sales Executive,9277.0,6,Yes,17,0,3.0,4.0,7,109.14117647058822,0.0,2.6
43.0,No,Travel_Frequently,9,4,Male,1,Laboratory Technician,2437.0,3,No,23,2,4.0,1.0,2,195.05208333333331,0.8698531375166889,3.2
34.0,No,Travel_Rarely,6,2,Female,2,Research Scientist,4381.0,3,Yes,12,2,3.0,6.0,9,283.1666666666667,0.8016480282519128,2.6
38.0,No,Travel_Rarely,1,2,Female,1,Research Scientist,13206.0,1,Yes,13,1,3.0,18.0,5,274.6265060240964,0.4206370097394051,3.0
38.0,No,Travel_Rarely,29,4,Male,2,Sales Executive,10609.0,8,No,19,3,6.0,16.0,3,216.2622950819672,0.1958004851425106,2.6
32.0,Yes,Travel_Rarely,7,2,Female,1,Laboratory Technician,3666.0,8,No,11,1,2.0,13.0,9,72.6111111111111,0.2987758224942617,3.0
36.0,No,Travel_Rarely,7,1,Female,1,Sales Representative,5228.0,1,No,13,1,2.0,2.0,0,213.05263157894737,0.6771245059288538,2.8
44.0,No,Travel_Rarely,5,2,Male,2,Healthcare Representative,18384.0,1,No,12,2,4.0,3.0,3,216.28235294117644,0.0,2.8
56.0,No,Travel_Rarely,23,2,Female,1,Research Scientist,5380.0,1,No,24,1,3.0,0.0,7,293.5679012345679,0.7737499474326086,3.2
43.0,No,Travel_Rarely,28,3,Female,1,Research Scientist,4585.0,4,No,20,1,5.0,20.0,4,173.18556701030928,0.7270670873266266,3.6
33.0,Yes,Travel_Rarely,9,3,Female,1,Sales Representative,8224.0,1,No,13,0,3.0,5.0,2,281.34615384615387,0.4378673957621326,2.2
26.0,No,Travel_Rarely,3,3,Female,1,Research Scientist,2368.0,3,No,17,1,3.0,5.0,0,120.8,0.7199621570482497,2.6
31.0,Yes,Travel_Frequently,10,3,Female,1,Research Scientist,11479.0,6,Yes,20,0,2.0,10.0,0,124.77173913043478,0.0,2.6
46.0,No,Travel_Rarely,5,2,Male,2,Sales Executive,3904.0,1,No,14,1,2.0,5.0,8,185.22916666666663,0.5609042852322573,2.8
29.0,No,Travel_Frequently,18,4,Female,5,Research Director,2125.0,1,Yes,17,1,3.0,3.0,9,54.82758620689656,0.33176100628930816,3.0
31.0,No,Travel_Rarely,6,2,Male,2,Sales Representative,16047.0,2,Yes,20,1,2.0,1.0,7,471.97058823529403,0.0,2.6
40.0,No,Travel_Rarely,13,2,Male,1,Sales Representative,2809.0,1,No,13,1,2.0,2.0,0,91.06410256410255,0.6045332957905111,3.0
27.0,No,Travel_Rarely,8,1,Male,2,Research Scientist,24907.0,1,No,23,1,3.0,5.0,7,408.31147540983613,0.0,2.8
42.0,Yes,Travel_Rarely,25,3,Male,1,Laboratory Technician,4907.0,1,No,12,0,3.0,20.0,0,219.95833333333331,0.5352339458230726,2.0
34.0,No,Travel_Rarely,1,3,Male,1,Research Scientist,9713.0,2,No,16,1,2.0,5.0,2,293.1666666666667,0.07968542732613228,2.4
38.0,No,Travel_Rarely,1,3,Male,3,Sales Executive,6770.0,1,No,21,0,3.0,7.0,8,211.5625,0.0,2.2
34.0,No,Travel_Rarely,3,3,Male,1,Laboratory Technician,3420.0,4,No,15,1,2.0,6.0,3,315.7358490566038,0.7956256722839727,2.8
52.0,No,Travel_Frequently,2,2,Female,4,Manager,12982.0,1,Yes,11,1,3.0,9.0,14,393.3939393939394,0.0,3.0
28.0,Yes,Travel_Rarely,1,4,Female,1,Research Scientist,5207.0,1,Yes,13,0,2.0,7.0,9,82.65079365079364,0.0,3.2
56.0,No,Travel_Rarely,7,4,Male,2,Laboratory Technician,7260.0,3,No,22,1,2.0,6.0,7,198.5,0.2380352644836272,3.4
26.0,No,Travel_Frequently,3,4,Female,1,Research Scientist,4364.0,1,Yes,11,0,2.0,2.0,7,413.5535714285714,0.8115635390129108,3.2
31.0,No,Travel_Rarely,14,3,Male,1,Research Scientist,6582.0,1,Yes,14,2,2.0,6.0,7,342.3095238095238,0.5421854350699034,2.2
42.0,No,Travel_Rarely,2,2,Male,2,Manufacturing Director,5155.0,2,No,14,1,3.0,6.0,7,271.57777777777784,0.7890925456181982,3.0
41.0,No,Travel_Rarely,21,4,Male,3,Manufacturing Director,6870.0,1,No,11,1,3.0,3.0,9,199.90196078431373,0.3261402648357038,2.6
46.0,No,Travel_Rarely,23,3,Female,1,Research Scientist,3032.0,1,No,22,2,2.0,11.0,2,33.68888888888889,0.0,2.2
32.0,No,Travel_Frequently,11,4,Male,2,Sales Executive,4648.0,3,No,12,0,2.0,0.0,1,102.3875,0.4325479184470761,3.6
32.0,No,Travel_Rarely,9,1,Female,3,Sales Executive,3931.0,3,Yes,13,1,5.0,4.0,7,220.79166666666663,0.8145404793357237,3.0
24.0,No,Travel_Rarely,2,4,Female,2,Sales Executive,3698.0,1,Yes,20,0,2.0,3.0,7,61.716049382716044,0.26025205041008204,2.2
31.0,No,Travel_Frequently,2,2,Female,2,Manufacturing Director,3334.0,1,No,12,0,3.0,3.0,7,301.15625,0.654041714226419,3.4
20.0,No,Travel_Rarely,12,4,Male,2,Manufacturing Director,3033.0,9,Yes,12,2,2.0,2.0,2,163.43421052631578,0.7558167619354319,2.8
38.0,No,Travel_Frequently,16,4,Female,2,Sales Executive,13494.0,4,No,13,2,3.0,5.0,2,137.69387755102042,0.0,1.8
28.0,No,Travel_Rarely,4,3,Male,2,Sales Executive,8863.0,1,No,15,0,2.0,2.0,4,206.11627906976744,0.0,2.8
35.0,No,Travel_Rarely,11,3,Male,2,Human Resources,5098.0,4,No,11,2,5.0,10.0,9,389.875,0.7665002519122429,3.0
42.0,Yes,Travel_Rarely,5,3,Male,2,Sales Executive,13348.0,1,Yes,11,0,3.0,5.0,4,586.0652173913044,0.5048777773656293,3.0
30.0,Yes,Non-Travel,1,2,Female,2,Sales Executive,8412.0,8,Yes,11,0,3.0,9.0,4,207.22340425531914,0.5681503157246265,2.2
23.0,No,Travel_Rarely,17,3,Female,1,Research Scientist,3295.0,2,No,13,0,3.0,3.0,0,57.82432432432432,0.2299602710913765,3.0
42.0,No,Travel_Rarely,1,3,Male,1,Research Scientist,4272.0,1,No,14,1,3.0,1.0,0,174.02777777777774,0.6590582601755786,2.2
37.0,No,Travel_Rarely,2,3,Male,2,Manufacturing Director,16321.0,5,No,18,1,2.0,10.0,1,194.297619047619,0.0,2.8
32.0,Yes,Travel_Rarely,1,2,Male,1,Research Scientist,9204.0,1,Yes,12,3,2.0,4.0,3,112.04040404040406,0.1702127659574468,2.6
49.0,No,Travel_Rarely,15,2,Male,5,Research Director,10849.0,5,No,11,1,2.0,5.0,2,208.63461538461542,0.0,2.6
40.0,Yes,Travel_Rarely,9,4,Female,1,Sales Representative,6377.0,7,No,23,0,2.0,12.0,3,85.1951219512195,0.0871743486973948,2.2
45.0,No,Travel_Rarely,1,3,Female,3,Sales Executive,19566.0,1,No,16,1,3.0,1.0,7,399.30612244897964,0.0,2.6
29.0,No,Travel_Rarely,5,4,Female,1,Research Scientist,2373.0,9,No,12,1,2.0,7.0,4,44.52,0.2893081761006289,2.4
18.0,No,Non-Travel,25,3,Male,1,Research Scientist,21221.0,1,Yes,12,0,2.0,1.0,0,372.2982456140351,0.0,3.4
