Age,Attrition,BusinessTravel,DistanceFromHome,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,MonthlyHours,OverallSatisfaction,TaxRate
43.0,No,Travel_Rarely,25,2,1,Male,2,3,Research Director,2,26707.0,3,No,17,3,1,2.0,3,10.0,8,329.71604938271605,2.2,0.0
34.0,No,Travel_Frequently,26,4,3,Female,3,2,Sales Executive,4,12069.0,0,No,18,1,0,3.0,3,2.0,2,120.69,2.8,0.0
37.0,No,Travel_Rarely,2,2,3,Male,2,1,Laboratory Technician,2,6502.0,4,No,14,2,1,2.0,2,5.0,1,212.84,2.2,0.592683079621625
24.0,No,Travel_Rarely,6,2,2,Male,3,2,Manufacturing Director,2,2819.0,6,No,20,4,2,2.0,3,6.0,2,54.964285714285715,2.8,0.3894303660385532
38.0,Yes,Travel_Frequently,26,4,3,Male,2,2,Sales Executive,1,22967.0,5,No,15,3,0,2.0,2,6.0,3,441.67307692307685,2.2,0.0
31.0,Yes,Non-Travel,3,3,1,Male,3,1,Laboratory Technician,1,9936.0,4,No,12,3,0,2.0,4,9.0,2,164.82022471910113,2.4,0.3226532142613675
44.0,No,Travel_Rarely,2,2,4,Male,3,2,Sales Executive,2,2559.0,7,No,12,3,2,0.0,3,8.0,4,490.2826086956522,3.0,0.8865339422693211
60.0,Yes,Travel_Rarely,2,2,4,Male,2,1,Laboratory Technician,3,2396.0,6,Yes,15,2,0,2.0,3,1.0,0,26.04347826086957,2.8,0.0
29.0,No,Travel_Rarely,2,1,4,Female,4,2,Manufacturing Director,3,4973.0,1,No,17,3,2,5.0,3,0.0,7,64.58441558441558,3.4,0.0
46.0,No,Travel_Rarely,23,4,2,Female,1,1,Laboratory Technician,3,5855.0,0,No,16,2,1,2.0,4,9.0,4,106.54945054945057,2.4,0.3961427392739274
37.0,No,Travel_Rarely,2,3,4,Male,3,2,Sales Executive,3,3564.0,1,Yes,11,1,0,3.0,3,8.0,4,70.83783783783784,2.8,0.3201068294544067
34.0,No,Travel_Rarely,6,3,1,Female,2,5,Manager,3,2742.0,7,No,13,4,0,2.0,3,2.0,12,278.25925925925924,2.6,0.8783442033808067
45.0,No,Non-Travel,9,4,3,Male,2,1,Research Scientist,2,7551.0,0,Yes,16,4,0,1.0,3,20.0,2,179.78571428571428,2.8,0.0
51.0,No,Travel_Rarely,9,3,3,Female,2,1,Laboratory Technician,2,4936.0,1,No,11,3,3,2.0,3,7.0,0,442.51666666666665,2.6,0.8140936311250047
45.0,Yes,Travel_Rarely,8,1,4,Female,2,1,Laboratory Technician,3,5006.0,1,Yes,11,1,0,3.0,3,5.0,4,221.35483870967738,2.6,0.7568250267171864
38.0,No,Travel_Rarely,28,3,4,Female,3,4,Research Director,1,6545.0,4,Yes,11,2,0,1.0,3,3.0,2,521.4418604651163,2.6,0.7080991882972081
28.0,No,Travel_Rarely,23,3,1,Male,1,1,Research Scientist,3,2713.0,1,No,25,3,3,2.0,2,5.0,7,232.3958333333333,2.0,0.8783953384132676
56.0,No,Travel_Rarely,28,3,2,Female,4,1,Research Scientist,3,16090.0,4,No,12,4,0,2.0,3,5.0,2,223.47222222222226,3.2,0.0
35.0,No,Travel_Rarely,7,4,2,Male,4,2,Research Scientist,2,5628.0,6,Yes,16,4,0,2.0,3,9.0,0,72.15384615384616,3.0,0.0
30.0,No,Travel_Rarely,9,3,3,Female,4,1,Research Scientist,3,2693.0,1,No,16,4,1,3.0,3,1.0,3,284.1290322580645,3.4,0.8471276112624887
49.0,Yes,Travel_Rarely,3,2,1,Male,2,1,Sales Representative,3,3810.0,1,Yes,14,3,0,2.0,3,6.0,2,44.30232558139535,2.4,0.0
29.0,No,Travel_Rarely,29,2,1,Male,3,2,Sales Executive,3,4267.0,5,No,12,1,2,2.0,3,0.0,0,147.64444444444445,2.2,0.3577664057796508
38.0,No,Travel_Rarely,10,4,1,Male,2,3,Sales Executive,2,2983.0,2,No,12,2,1,3.0,2,3.0,0,308.23880597014926,1.8,0.8555587836529149
34.0,Yes,Travel_Rarely,8,1,3,Male,3,1,Laboratory Technician,1,2768.0,1,Yes,17,3,0,3.0,3,7.0,0,202.5189873417721,2.6,0.8269891868241765
40.0,No,Travel_Rarely,11,4,2,Female,3,4,Manager,4,10435.0,3,No,20,1,1,2.0,3,18.0,9,281.1034482758621,2.6,0.5733153418384037
38.0,No,Travel_Frequently,8,1,4,Male,4,1,Laboratory Technician,4,4892.0,1,No,19,4,0,1.0,3,8.0,0,147.80555555555554,3.8,0.08062394286788198
22.0,No,Non-Travel,7,1,1,Female,2,1,Laboratory Technician,4,6054.0,6,No,14,3,3,6.0,3,1.0,3,97.64516129032258,2.6,0.0
60.0,No,Travel_Rarely,2,3,4,Male,3,1,Research Scientist,1,5405.0,1,No,14,4,0,1.0,3,2.0,2,144.71794871794873,3.0,0.5211729270021261
45.0,Yes,Travel_Rarely,20,2,4,Male,3,1,Human Resources,2,6889.0,0,Yes,11,3,0,2.0,3,7.0,1,157.2608695652174,3.0,0.36512763800571374
34.0,No,Travel_Rarely,2,1,4,Female,3,1,Laboratory Technician,3,6029.0,6,Yes,19,3,1,3.0,2,2.0,2,128.03508771929822,3.0,0.17388325568648946
28.0,No,Travel_Rarely,10,4,3,Male,3,2,Human Resources,3,4908.0,3,No,11,3,0,3.0,3,4.0,3,208.6478873239436,3.0,0.6686917780477927
34.0,No,Travel_Rarely,1,4,2,Male,4,2,Sales Executive,4,2691.0,0,No,11,4,1,4.0,2,10.0,1,163.70666666666668,3.2,0.780827496334908
41.0,No,Travel_Rarely,1,4,2,Male,3,2,Research Scientist,4,2289.0,9,No,17,2,1,2.0,2,5.0,2,289.06666666666666,2.6,0.8240313653136532
39.0,No,Travel_Frequently,1,4,2,Male,3,2,Healthcare Representative,3,12169.0,4,No,12,3,0,2.0,3,18.0,2,329.79545454545456,2.8,0.16139480394183722
38.0,No,Travel_Frequently,8,2,4,Male,3,1,Research Scientist,4,4488.0,1,No,21,4,0,2.0,3,13.0,3,71.74242424242425,3.6,0.05216473072861669
36.0,No,Travel_Rarely,18,1,1,Male,4,2,Sales Executive,3,2342.0,2,No,11,2,0,3.0,2,5.0,2,134.16129032258064,2.4,0.8122946221046726
30.0,No,Travel_Frequently,5,3,4,Female,3,1,Sales Representative,2,3909.0,1,No,11,3,1,2.0,2,9.0,2,59.14285714285714,2.8,0.21316425120772947
35.0,No,Travel_Rarely,2,3,4,Female,3,2,Sales Executive,2,4859.0,8,No,15,4,0,3.0,2,5.0,7,172.53225806451616,3.0,0.5457604935963354
47.0,Yes,Travel_Rarely,9,3,2,Male,3,1,Laboratory Technician,1,16998.0,2,Yes,11,3,0,3.0,2,17.0,0,190.98876404494385,2.2,0.0
32.0,No,Non-Travel,2,4,4,Male,2,1,Sales Representative,4,4087.0,1,Yes,18,1,0,3.0,2,6.0,2,202.1076923076923,2.6,0.6888939636142194
45.0,Yes,Travel_Rarely,9,4,1,Male,3,2,Sales Executive,1,18385.0,0,Yes,17,1,0,2.0,3,10.0,2,238.7662337662337,1.8,0.0
34.0,No,Travel_Frequently,8,3,3,Female,4,2,Sales Executive,4,2231.0,1,No,15,3,2,3.0,4,4.0,7,208.80357142857144,3.6,0.8092020867185495
32.0,No,Travel_Rarely,27,5,3,Female,3,2,Sales Executive,4,11159.0,7,No,23,4,1,6.0,2,7.0,7,255.3030303030303,3.2,0.5584965380811078
54.0,No,Travel_Rarely,9,3,1,Female,3,5,Research Director,3,3735.0,2,No,17,2,1,6.0,4,10.0,16,272.28125,2.6,0.7856650981292321
39.0,No,Non-Travel,8,5,1,Male,3,4,Research Director,2,8847.0,3,No,11,3,0,2.0,4,6.0,2,117.41935483870968,2.6,0.18983516483516485
30.0,Yes,Non-Travel,4,4,4,Male,2,2,Sales Executive,4,8450.0,1,Yes,12,2,0,2.0,3,11.0,7,176.54166666666663,3.0,0.002832192589096059
35.0,No,Travel_Rarely,7,4,4,Female,3,2,Sales Executive,1,12761.0,7,No,14,2,2,4.0,3,19.0,2,174.8082191780822,2.6,0.0
30.0,No,Travel_Frequently,8,2,2,Female,3,2,Manufacturing Director,1,4011.0,2,Yes,16,2,1,2.0,3,12.0,0,54.79347826086956,2.2,0.2043245387819877
53.0,No,Travel_Rarely,2,3,3,Male,2,1,Laboratory Technician,4,2450.0,7,No,15,2,0,4.0,2,2.0,2,37.078651685393254,2.6,0.2575757575757576
45.0,No,Travel_Rarely,6,2,4,Male,2,1,Laboratory Technician,3,2348.0,1,No,11,2,1,2.0,3,17.0,4,409.4,2.8,0.8566194430874451
31.0,Yes,Travel_Rarely,1,3,3,Male,3,1,Research Scientist,3,5582.0,0,No,14,4,0,2.0,2,9.0,2,232.43529411764703,3.0,0.7174672268056891
47.0,No,Non-Travel,1,2,1,Male,3,3,Research Director,4,5467.0,1,Yes,12,3,0,4.0,3,8.0,14,154.55102040816325,2.8,0.6390466129671201
26.0,No,Travel_Frequently,10,4,4,Female,3,3,Healthcare Representative,3,5747.0,3,No,12,1,0,3.0,3,2.0,7,91.22222222222223,2.8,0.0
33.0,Yes,Travel_Rarely,4,3,1,Male,3,2,Sales Executive,2,9558.0,1,No,18,3,0,2.0,3,10.0,7,170.67857142857142,2.4,0.0
49.0,No,Travel_Rarely,1,3,4,Female,2,4,Research Director,4,3423.0,3,No,14,2,2,2.0,2,7.0,7,160.50574712643675,2.8,0.7548696648524778
38.0,No,Travel_Frequently,2,3,4,Male,2,1,Laboratory Technician,4,2610.0,1,Yes,12,2,1,2.0,3,4.0,2,273.5,3.0,0.8164815075235551
28.0,No,Travel_Rarely,3,4,3,Male,3,4,Research Director,3,2028.0,3,Yes,16,4,3,2.0,2,4.0,3,467.02222222222224,3.0,0.9035020936429388
36.0,No,Travel_Rarely,7,1,4,Male,2,1,Research Scientist,4,3886.0,1,No,11,3,2,2.0,3,10.0,2,420.265625,3.2,0.8555229207718333
42.0,No,Non-Travel,3,3,3,Male,3,1,Research Scientist,2,9256.0,1,No,12,3,0,2.0,2,20.0,10,388.2826086956522,2.6,0.4817759363977381
32.0,No,Travel_Rarely,6,3,1,Male,2,2,Healthcare Representative,3,13119.0,2,No,13,4,0,2.0,3,1.0,2,135.24742268041237,2.6,0.0
59.0,No,Travel_Rarely,22,3,2,Male,4,3,Manager,2,11904.0,7,No,18,2,1,1.0,2,6.0,7,269.01408450704224,2.4,0.3767539267015707
45.0,Yes,Travel_Rarely,9,4,4,Male,3,1,Laboratory Technician,1,4805.0,3,No,14,2,0,3.0,1,8.0,4,253.84883720930242,2.2,0.7799001419999084
36.0,Yes,Travel_Rarely,11,3,3,Male,3,3,Sales Executive,4,5860.0,1,No,18,1,2,2.0,4,3.0,8,205.7441860465116,3.0,0.33762857465807616
42.0,No,Travel_Rarely,7,2,3,Female,2,3,Manufacturing Director,3,14034.0,1,No,24,1,1,5.0,3,5.0,9,292.375,2.4,0.0
28.0,No,Travel_Rarely,1,5,2,Male,3,2,Sales Executive,1,3485.0,5,Yes,21,3,1,2.0,2,0.0,3,53.45333333333333,2.2,0.13070591169867798
46.0,No,Travel_Rarely,2,4,2,Male,3,1,Research Scientist,2,6073.0,1,No,11,3,1,3.0,2,4.0,3,229.17073170731706,2.4,0.3536611323967645
29.0,No,Travel_Rarely,29,4,1,Female,3,1,Sales Representative,4,2974.0,2,No,15,2,2,2.0,2,5.0,8,494.7,2.4,0.8497068930665049
40.0,No,Travel_Rarely,1,2,2,Male,2,1,Laboratory Technician,3,9705.0,1,No,12,3,3,2.0,2,1.0,1,346.42372881355936,2.4,0.5251724644062821
40.0,No,Travel_Rarely,19,2,3,Male,3,2,Research Scientist,1,3875.0,2,No,16,1,2,2.0,2,2.0,0,552.1388888888888,2.0,0.8050510640438698
28.0,No,Travel_Rarely,2,1,1,Female,4,1,Research Scientist,1,8268.0,7,No,13,3,0,2.0,2,7.0,3,332.8,2.2,0.6177884615384616
47.0,Yes,Non-Travel,25,4,4,Male,2,3,Sales Executive,2,11849.0,2,Yes,12,3,0,2.0,3,10.0,4,302.3684210526316,2.8,0.31250362634174644
41.0,No,Non-Travel,25,4,3,Male,3,3,Healthcare Representative,3,6230.0,1,Yes,11,3,1,3.0,2,14.0,10,122.36842105263158,2.8,0.10681003584229393
46.0,Yes,Travel_Rarely,13,5,2,Female,2,2,Sales Executive,1,8658.0,5,Yes,13,2,3,2.0,3,8.0,2,197.3645833333333,2.0,0.5430411146883412
19.0,No,Travel_Rarely,9,3,3,Female,4,1,Research Scientist,3,1483.0,6,No,18,1,2,2.0,2,1.0,0,245.8901098901099,2.6,0.9337236324633535
34.0,No,Travel_Rarely,8,5,1,Male,1,1,Laboratory Technician,3,5869.0,1,No,19,4,3,2.0,3,15.0,2,111.7816091954023,2.4,0.3965038560411311
30.0,No,Travel_Frequently,6,2,2,Female,3,1,Human Resources,3,25657.0,8,No,17,4,0,2.0,2,4.0,2,493.40384615384613,2.8,0.0
35.0,Yes,Travel_Frequently,2,3,3,Male,3,2,Manufacturing Director,2,7653.0,4,No,11,1,2,3.0,3,10.0,2,108.5061728395062,2.4,0.12925247468426446
45.0,No,Travel_Rarely,7,3,4,Male,2,2,Healthcare Representative,1,9724.0,8,No,19,1,0,2.0,1,1.0,6,425.41818181818184,1.8,0.5844089238396444
34.0,No,Travel_Rarely,21,4,4,Male,4,2,Sales Executive,4,19921.0,1,No,12,4,0,3.0,3,2.0,7,269.20270270270265,3.8,0.0
37.0,Yes,Travel_Rarely,9,2,3,Male,2,3,Sales Executive,4,2501.0,1,No,16,4,0,4.0,3,5.0,8,212.4375,3.2,0.8160488378934981
31.0,No,Travel_Rarely,11,3,1,Female,3,1,Laboratory Technician,3,19106.0,4,No,18,1,0,2.0,3,11.0,2,203.25531914893617,2.2,0.0
46.0,No,Travel_Rarely,1,2,2,Female,3,2,Sales Executive,4,2823.0,1,Yes,14,4,1,2.0,2,7.0,14,61.125,3.0,0.17528483786152502
27.0,No,Travel_Frequently,4,4,4,Female,2,2,Sales Executive,3,2379.0,4,No,14,3,1,3.0,4,5.0,11,310.4255319148936,3.2,0.8369431117203564
39.0,No,Travel_Rarely,20,3,2,Male,1,3,Healthcare Representative,1,3230.0,2,Yes,18,2,1,4.0,3,5.0,7,209.08421052631581,1.8,0.8373860947490308
27.0,No,Travel_Rarely,3,2,1,Female,3,1,Laboratory Technician,4,2561.0,5,No,22,1,1,2.0,3,2.0,0,65.66666666666667,2.4,0.0
35.0,No,Non-Travel,1,1,2,Male,3,3,Sales Executive,4,6599.0,1,No,14,4,1,3.0,3,1.0,10,157.11904761904762,3.2,0.0
33.0,No,Travel_Rarely,28,2,1,Male,3,2,Sales Executive,2,2277.0,1,No,20,4,2,4.0,4,4.0,3,112.54545454545456,2.8,0.6934571890145396
31.0,No,Travel_Rarely,26,3,3,Male,2,2,Sales Executive,1,5915.0,1,No,11,3,1,2.0,3,7.0,3,504.83333333333326,2.4,0.7559012875536479
30.0,No,Travel_Rarely,8,1,3,Male,3,1,Laboratory Technician,3,3491.0,1,No,11,1,1,2.0,3,10.0,3,372.33333333333326,2.6,0.8046665174574754
33.0,No,Travel_Rarely,1,3,2,Male,3,2,Sales Executive,3,13610.0,9,No,11,3,0,2.0,3,7.0,9,219.51764705882354,2.8,0.2705932793826036
28.0,No,Travel_Rarely,19,4,4,Female,3,2,Manufacturing Director,1,22670.0,9,Yes,11,2,2,5.0,3,5.0,3,238.63157894736838,2.6,0.0
40.0,No,Non-Travel,22,4,3,Male,2,2,Research Scientist,4,10932.0,1,Yes,15,2,0,2.0,3,1.0,10,308.09302325581393,2.8,0.5874094202898551
33.0,No,Travel_Rarely,16,4,4,Male,2,2,Sales Executive,3,3143.0,4,No,19,4,2,1.0,3,10.0,0,372.09090909090907,3.2,0.8720172652496132
33.0,No,Travel_Frequently,4,3,3,Male,2,2,Manufacturing Director,3,4373.0,1,No,12,3,1,2.0,3,4.0,13,195.14285714285717,2.8,0.7713344488600711
34.0,No,Travel_Rarely,7,2,1,Male,2,3,Sales Executive,4,2932.0,7,Yes,18,4,1,2.0,3,5.0,2,265.5769230769231,2.8,0.8584600531016172
40.0,No,Travel_Rarely,1,5,1,Male,3,2,Human Resources,4,10503.0,4,Yes,11,3,0,3.0,3,6.0,7,454.6756756756757,2.8,0.3756761576413244
45.0,Yes,Travel_Frequently,13,4,1,Male,4,4,Sales Executive,3,9277.0,6,Yes,17,3,0,3.0,2,4.0,7,109.14117647058822,2.6,0.0
43.0,No,Travel_Frequently,9,4,4,Male,3,1,Laboratory Technician,4,2437.0,3,No,23,2,2,4.0,3,1.0,2,195.0520833333333,3.2,0.8698531375166889
34.0,No,Travel_Rarely,6,2,4,Female,3,2,Research Scientist,1,4381.0,3,Yes,12,2,2,3.0,3,6.0,9,283.1666666666667,2.6,0.8016480282519128
38.0,No,Travel_Rarely,1,2,2,Female,2,1,Research Scientist,4,13206.0,1,Yes,13,4,1,3.0,3,18.0,5,274.6265060240964,3.0,0.4206370097394051
38.0,No,Travel_Rarely,29,4,3,Male,3,2,Sales Executive,1,10609.0,8,No,19,3,3,6.0,3,16.0,3,216.2622950819672,2.6,0.1958004851425106
32.0,Yes,Travel_Rarely,7,2,4,Female,3,1,Laboratory Technician,3,3666.0,8,No,11,4,1,2.0,1,13.0,9,72.6111111111111,3.0,0.2987758224942617
36.0,No,Travel_Rarely,7,1,4,Female,3,1,Sales Representative,3,5228.0,1,No,13,1,1,2.0,3,2.0,0,213.05263157894737,2.8,0.6771245059288538
44.0,No,Travel_Rarely,5,2,2,Male,4,2,Healthcare Representative,1,18384.0,1,No,12,4,2,4.0,3,3.0,3,216.28235294117644,2.8,0.0
56.0,No,Travel_Rarely,23,2,3,Female,4,1,Research Scientist,3,5380.0,1,No,24,3,1,3.0,3,0.0,7,293.5679012345679,3.2,0.7737499474326086
43.0,No,Travel_Rarely,28,3,4,Female,3,1,Research Scientist,4,4585.0,4,No,20,4,1,5.0,3,20.0,4,173.18556701030928,3.6,0.7270670873266266
33.0,Yes,Travel_Rarely,9,3,2,Female,1,1,Sales Representative,2,8224.0,1,No,13,3,0,3.0,3,5.0,2,281.34615384615387,2.2,0.4378673957621326
26.0,No,Travel_Rarely,3,3,3,Female,2,1,Research Scientist,4,2368.0,3,No,17,1,1,3.0,3,5.0,0,120.8,2.6,0.7199621570482497
31.0,Yes,Travel_Frequently,10,3,4,Female,2,1,Research Scientist,1,11479.0,6,Yes,20,3,0,2.0,3,10.0,0,124.77173913043478,2.6,0.0
46.0,No,Travel_Rarely,5,2,2,Male,3,2,Sales Executive,2,3904.0,1,No,14,4,1,2.0,3,5.0,8,185.22916666666663,2.8,0.5609042852322573
29.0,No,Travel_Frequently,18,4,4,Female,2,5,Research Director,3,2125.0,1,Yes,17,3,1,3.0,3,3.0,9,54.82758620689656,3.0,0.33176100628930816
31.0,No,Travel_Rarely,6,2,2,Male,3,2,Sales Representative,3,16047.0,2,Yes,20,4,1,2.0,1,1.0,7,471.97058823529403,2.6,0.0
40.0,No,Travel_Rarely,13,2,4,Male,3,1,Sales Representative,2,2809.0,1,No,13,3,1,2.0,3,2.0,0,91.06410256410255,3.0,0.6045332957905111
27.0,No,Travel_Rarely,8,1,3,Male,2,2,Research Scientist,2,24907.0,1,No,23,4,1,3.0,3,5.0,7,408.311475409836,2.8,0.0
42.0,Yes,Travel_Rarely,25,3,1,Male,1,1,Laboratory Technician,3,4907.0,1,No,12,3,0,3.0,2,20.0,0,219.9583333333333,2.0,0.5352339458230726
34.0,No,Travel_Rarely,1,3,3,Male,3,1,Research Scientist,1,9713.0,2,No,16,2,1,2.0,3,5.0,2,293.1666666666667,2.4,0.07968542732613228
38.0,No,Travel_Rarely,1,3,1,Male,3,3,Sales Executive,4,6770.0,1,No,21,1,0,3.0,2,7.0,8,211.5625,2.2,0.0
34.0,No,Travel_Rarely,3,3,3,Male,3,1,Laboratory Technician,4,3420.0,4,No,15,3,1,2.0,1,6.0,3,315.7358490566038,2.8,0.7956256722839727
52.0,No,Travel_Frequently,2,2,3,Female,3,4,Manager,4,12982.0,1,Yes,11,3,1,3.0,2,9.0,14,393.3939393939394,3.0,0.0
28.0,Yes,Travel_Rarely,1,4,4,Female,3,1,Research Scientist,4,5207.0,1,Yes,13,3,0,2.0,2,7.0,9,82.65079365079364,3.2,0.0
56.0,No,Travel_Rarely,7,4,4,Male,3,2,Laboratory Technician,4,7260.0,3,No,22,4,1,2.0,2,6.0,7,198.5,3.4,0.2380352644836272
26.0,No,Travel_Frequently,3,4,4,Female,3,1,Research Scientist,3,4364.0,1,Yes,11,3,0,2.0,3,2.0,7,413.5535714285714,3.2,0.8115635390129108
