Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,MonthlyHours,TaxRate,OverallSatisfaction
41.0,No,Travel_Rarely,Research & Development,1,4,Life Sciences,2,Male,45,3,2,Research Scientist,4,Married,2289.0,13008.0,9,No,17,2,1,2.0,2,5.0,2,2,289.07,0.82,2
39.0,No,Travel_Frequently,Research & Development,1,4,Medical,2,Male,44,3,2,Healthcare Representative,3,Single,12169.0,14511.0,4,No,12,3,0,2.0,3,18.0,2,0,329.8,0.16,2
38.0,No,Travel_Frequently,Research & Development,8,2,Life Sciences,4,Male,66,3,1,Research Scientist,4,Single,4488.0,4735.0,1,No,21,4,0,2.0,3,13.0,3,0,71.74,0.05,3
36.0,No,Travel_Rarely,Sales,18,1,Life Sciences,1,Male,93,4,2,Sales Executive,3,Married,2342.0,12477.0,2,No,11,2,0,3.0,2,5.0,2,1,134.16,0.81,2
30.0,No,Travel_Frequently,Sales,5,3,Marketing,4,Female,84,3,1,Sales Representative,2,Divorced,3909.0,4968.0,1,No,11,3,1,2.0,2,9.0,2,2,59.14,0.21,2
35.0,No,Travel_Rarely,Sales,2,3,Marketing,4,Female,62,3,2,Sales Executive,2,Single,4859.0,10697.0,8,No,15,4,0,3.0,2,5.0,7,1,172.53,0.55,3
47.0,Yes,Travel_Rarely,Research & Development,9,3,Medical,2,Male,89,3,1,Laboratory Technician,1,Single,16998.0,16998.0,2,Yes,11,3,0,3.0,2,17.0,0,0,190.99,0.0,2
32.0,No,Non-Travel,Sales,2,4,Life Sciences,4,Male,65,2,1,Sales Representative,4,Single,4087.0,13137.0,1,Yes,18,1,0,3.0,2,6.0,2,1,202.11,0.69,2
45.0,Yes,Travel_Rarely,Sales,9,4,Marketing,1,Male,77,3,2,Sales Executive,1,Single,18385.0,18385.0,0,Yes,17,1,0,2.0,3,10.0,2,0,238.77,0.0,1
34.0,No,Travel_Frequently,Sales,8,3,Medical,3,Female,56,4,2,Sales Executive,4,Married,2231.0,11693.0,1,No,15,3,2,3.0,4,4.0,7,0,208.8,0.81,3
32.0,No,Travel_Rarely,Sales,27,5,Marketing,3,Female,99,3,2,Sales Executive,4,Divorced,11159.0,25275.0,7,No,23,4,1,6.0,2,7.0,7,7,255.3,0.56,3
54.0,No,Travel_Rarely,Research & Development,9,3,Medical,1,Female,64,3,5,Research Director,3,Divorced,3735.0,17426.0,2,No,17,2,1,6.0,4,10.0,16,0,272.28,0.79,2
39.0,No,Non-Travel,Research & Development,8,5,Life Sciences,1,Male,93,3,4,Research Director,2,Single,8847.0,10920.0,3,No,11,3,0,2.0,4,6.0,2,1,117.42,0.19,2
30.0,Yes,Non-Travel,Sales,4,4,Marketing,4,Male,48,2,2,Sales Executive,4,Single,8474.0,8474.0,1,Yes,12,2,0,2.0,3,11.0,7,7,176.54,0.0,3
35.0,No,Travel_Rarely,Sales,7,4,Marketing,4,Female,73,3,2,Sales Executive,1,Divorced,12761.0,12761.0,7,No,14,2,2,4.0,3,19.0,2,0,174.81,0.0,2
30.0,No,Travel_Frequently,Research & Development,8,2,Life Sciences,2,Female,92,3,2,Manufacturing Director,1,Married,4011.0,5041.0,2,Yes,16,2,1,2.0,3,12.0,0,0,54.79,0.2,2
53.0,No,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,89,2,1,Laboratory Technician,4,Single,2450.0,3300.0,7,No,15,2,0,4.0,2,2.0,2,2,37.08,0.26,2
45.0,No,Travel_Rarely,Research & Development,6,2,Other,4,Male,40,2,1,Laboratory Technician,3,Married,2348.0,16376.0,1,No,11,2,1,2.0,3,17.0,4,0,409.4,0.86,2
31.0,Yes,Travel_Rarely,Research & Development,1,3,Technical Degree,3,Male,85,3,1,Research Scientist,3,Single,5582.0,19757.0,0,No,14,4,0,2.0,2,9.0,2,1,232.44,0.72,3
47.0,No,Non-Travel,Research & Development,1,2,Life Sciences,1,Male,98,3,3,Research Director,4,Single,5467.0,15146.0,1,Yes,12,3,0,4.0,3,8.0,14,8,154.55,0.64,2
26.0,No,Travel_Frequently,Research & Development,10,4,Technical Degree,4,Female,63,3,3,Healthcare Representative,3,Married,5747.0,5747.0,3,No,12,1,0,3.0,3,2.0,7,1,91.22,0.0,2
33.0,Yes,Travel_Rarely,Sales,4,3,Marketing,1,Male,56,3,2,Sales Executive,2,Single,9558.0,9558.0,1,No,18,3,0,2.0,3,10.0,7,7,170.68,0.0,2
49.0,No,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,87,2,4,Research Director,4,Divorced,3423.0,13964.0,3,No,14,2,2,2.0,2,7.0,7,1,160.51,0.75,2
38.0,No,Travel_Frequently,Research & Development,2,3,Life Sciences,4,Male,52,2,1,Laboratory Technician,4,Married,2610.0,14222.0,1,Yes,12,2,1,2.0,3,4.0,2,2,273.5,0.82,3
28.0,No,Travel_Rarely,Research & Development,3,4,Medical,3,Male,45,3,4,Research Director,3,Married,2028.0,21016.0,3,Yes,16,4,3,2.0,2,4.0,3,1,467.02,0.9,3
36.0,No,Travel_Rarely,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,3886.0,26897.0,1,No,11,3,2,2.0,3,10.0,2,2,420.27,0.86,3
42.0,No,Non-Travel,Research & Development,3,3,Technical Degree,3,Male,46,3,1,Research Scientist,2,Married,9256.0,17861.0,1,No,12,3,0,2.0,2,20.0,10,0,388.28,0.48,2
32.0,No,Travel_Rarely,Research & Development,6,3,Life Sciences,1,Male,97,2,2,Healthcare Representative,3,Single,13119.0,13119.0,2,No,13,4,0,2.0,3,1.0,2,2,135.25,0.0,2
59.0,No,Travel_Rarely,Research & Development,22,3,Life Sciences,2,Male,71,4,3,Manager,2,Divorced,11904.0,19100.0,7,No,18,2,1,1.0,2,6.0,7,6,269.01,0.38,2
45.0,Yes,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,86,3,1,Laboratory Technician,1,Single,4805.0,21831.0,3,No,14,2,0,3.0,1,8.0,4,1,253.85,0.78,2
36.0,Yes,Travel_Rarely,Sales,11,3,Marketing,3,Male,43,3,3,Sales Executive,4,Married,5860.0,8847.0,1,No,18,1,2,2.0,4,3.0,8,7,205.74,0.34,3
42.0,No,Travel_Rarely,Research & Development,7,2,Life Sciences,3,Female,48,2,3,Manufacturing Director,3,Married,14034.0,14034.0,1,No,24,1,1,5.0,3,5.0,9,8,292.38,0.0,2
28.0,No,Travel_Rarely,Sales,1,5,Marketing,2,Male,75,3,2,Sales Executive,1,Divorced,3485.0,4009.0,5,Yes,21,3,1,2.0,2,0.0,3,1,53.45,0.13,2
46.0,No,Travel_Rarely,Research & Development,2,4,Technical Degree,2,Male,41,3,1,Research Scientist,2,Married,6073.0,9396.0,1,No,11,3,1,3.0,2,4.0,3,1,229.17,0.35,2
29.0,No,Travel_Rarely,Sales,29,4,Life Sciences,1,Female,40,3,1,Sales Representative,4,Divorced,2974.0,19788.0,2,No,15,2,2,2.0,2,5.0,8,0,494.7,0.85,2
40.0,No,Travel_Rarely,Research & Development,1,2,Medical,2,Male,59,2,1,Laboratory Technician,3,Divorced,9705.0,20439.0,1,No,12,3,3,2.0,2,1.0,1,0,346.42,0.53,2
40.0,No,Travel_Rarely,Research & Development,19,2,Life Sciences,3,Male,36,3,2,Research Scientist,1,Divorced,3875.0,19877.0,2,No,16,1,2,2.0,2,2.0,0,0,552.14,0.81,2
28.0,No,Travel_Rarely,Research & Development,2,1,Medical,1,Female,65,4,1,Research Scientist,1,Single,8268.0,21632.0,7,No,13,3,0,2.0,2,7.0,3,0,332.8,0.62,2
47.0,Yes,Non-Travel,Sales,25,4,Marketing,4,Male,57,2,3,Sales Executive,2,Single,11849.0,17235.0,2,Yes,12,3,0,2.0,3,10.0,4,1,302.37,0.31,2
41.0,No,Non-Travel,Research & Development,25,4,Medical,3,Male,57,3,3,Healthcare Representative,3,Divorced,6230.0,6975.0,1,Yes,11,3,1,3.0,2,14.0,10,10,122.37,0.11,2
46.0,Yes,Travel_Rarely,Sales,13,5,Marketing,2,Female,96,2,2,Sales Executive,1,Divorced,8658.0,18947.0,5,Yes,13,2,3,2.0,3,8.0,2,2,197.36,0.54,2
19.0,No,Travel_Rarely,Research & Development,9,3,Life Sciences,3,Female,91,4,1,Research Scientist,3,Married,1483.0,22376.0,6,No,18,1,2,2.0,2,1.0,0,0,245.89,0.93,2
34.0,No,Travel_Rarely,Research & Development,8,5,Life Sciences,1,Male,87,1,1,Laboratory Technician,3,Married,5869.0,9725.0,1,No,19,4,3,2.0,3,15.0,2,1,111.78,0.4,2
30.0,No,Travel_Frequently,Human Resources,6,2,Medical,2,Female,52,3,1,Human Resources,3,Married,25657.0,25657.0,8,No,17,4,0,2.0,2,4.0,2,2,493.4,0.0,2
35.0,Yes,Travel_Frequently,Research & Development,2,3,Medical,3,Male,81,3,2,Manufacturing Director,2,Married,7653.0,8789.0,4,No,11,1,2,3.0,3,10.0,2,1,108.51,0.13,2
45.0,No,Travel_Rarely,Research & Development,7,3,Medical,4,Male,55,2,2,Healthcare Representative,1,Single,9724.0,23398.0,8,No,19,1,0,2.0,1,1.0,6,0,425.42,0.58,1
34.0,No,Travel_Rarely,Sales,21,4,Life Sciences,4,Male,74,4,2,Sales Executive,4,Single,19921.0,19921.0,1,No,12,4,0,3.0,3,2.0,7,5,269.2,0.0,3
37.0,Yes,Travel_Rarely,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,2501.0,13596.0,1,No,16,4,0,4.0,3,5.0,8,4,212.44,0.82,3
31.0,No,Travel_Rarely,Research & Development,11,3,Medical,1,Female,94,3,1,Laboratory Technician,3,Single,19106.0,19106.0,4,No,18,1,0,2.0,3,11.0,2,0,203.26,0.0,2
46.0,No,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,56,3,2,Sales Executive,4,Married,2823.0,3423.0,1,Yes,14,4,1,2.0,2,7.0,14,4,61.12,0.18,3
27.0,No,Travel_Frequently,Sales,4,4,Life Sciences,4,Female,47,2,2,Sales Executive,3,Married,2379.0,14590.0,4,No,14,3,1,3.0,4,5.0,11,5,310.43,0.84,3
39.0,No,Travel_Rarely,Research & Development,20,3,Medical,2,Male,95,1,3,Healthcare Representative,1,Divorced,3230.0,19863.0,2,Yes,18,2,1,4.0,3,5.0,7,0,209.08,0.84,1
27.0,No,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Female,39,3,1,Laboratory Technician,4,Divorced,2561.0,2561.0,5,No,22,1,1,2.0,3,2.0,0,0,65.67,0.0,2
35.0,No,Non-Travel,Sales,1,1,Medical,2,Male,42,3,3,Sales Executive,4,Married,6599.0,6599.0,1,No,14,4,1,3.0,3,1.0,10,4,157.12,0.0,3
33.0,No,Travel_Rarely,Sales,28,2,Marketing,1,Male,66,3,2,Sales Executive,2,Married,2277.0,7428.0,1,No,20,4,2,4.0,4,4.0,3,1,112.55,0.69,2
31.0,No,Travel_Rarely,Sales,26,3,Life Sciences,3,Male,48,2,2,Sales Executive,1,Married,5915.0,24232.0,1,No,11,3,1,2.0,3,7.0,3,0,504.83,0.76,2
30.0,No,Travel_Rarely,Research & Development,8,1,Life Sciences,3,Male,48,3,1,Laboratory Technician,3,Married,3491.0,17872.0,1,No,11,1,1,2.0,3,10.0,3,0,372.33,0.8,2
33.0,No,Travel_Rarely,Sales,1,3,Marketing,2,Male,85,3,2,Sales Executive,3,Married,13610.0,18659.0,9,No,11,3,0,2.0,3,7.0,9,6,219.52,0.27,2
28.0,No,Travel_Rarely,Research & Development,19,4,Medical,4,Female,95,3,2,Manufacturing Director,1,Divorced,22670.0,22670.0,9,Yes,11,2,2,5.0,3,5.0,3,1,238.63,0.0,2
40.0,No,Non-Travel,Research & Development,22,4,Other,3,Male,86,2,2,Research Scientist,4,Married,10932.0,26496.0,1,Yes,15,2,0,2.0,3,1.0,10,6,308.09,0.59,2
33.0,No,Travel_Rarely,Sales,16,4,Marketing,4,Male,66,2,2,Sales Executive,3,Divorced,3143.0,24558.0,4,No,19,4,2,1.0,3,10.0,0,0,372.09,0.87,3
33.0,No,Travel_Frequently,Research & Development,4,3,Life Sciences,3,Male,98,2,2,Manufacturing Director,3,Married,4373.0,19124.0,1,No,12,3,1,2.0,3,4.0,13,6,195.14,0.77,2
34.0,No,Travel_Rarely,Sales,7,2,Marketing,1,Male,78,2,3,Sales Executive,4,Married,2932.0,20715.0,7,Yes,18,4,1,2.0,3,5.0,2,0,265.58,0.86,2
40.0,No,Travel_Rarely,Human Resources,1,5,Human Resources,1,Male,37,3,2,Human Resources,4,Married,10503.0,16823.0,4,Yes,11,3,0,3.0,3,6.0,7,0,454.68,0.38,2
45.0,Yes,Travel_Frequently,Sales,13,4,Marketing,1,Male,85,4,4,Sales Executive,3,Single,9277.0,9277.0,6,Yes,17,3,0,3.0,2,4.0,7,3,109.14,0.0,2
43.0,No,Travel_Frequently,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2437.0,18725.0,3,No,23,2,2,4.0,3,1.0,2,0,195.05,0.87,3
